Transaction_ID,Country,Product,Import_Export,Shipping_Method,Port,Category,Quantity,Value,Date,Customs_Code,Weight,Cluster,Corrected_Port
e3e70682-c209-4cac-a29f-6fbed82c07cd,Colombia,describe,Export,Air,Robertbury,Machinery,1979,9506.57,2023-12-07,620537,4248.65,Robertbury,Robertbury
f728b4fa-4248-4e3a-8a5d-2f346baa9455,Chile,president,Export,Air,Shahport,Clothing,5763,7100.91,2023-04-04,927600,4340.81,Shahport,Shahport
f7c1bd87-4da5-4709-9471-3d60c8a70639,Christmas Island,agency,Export,Air,Adamfort,Furniture,2592,7226.42,2022-05-09,996084,4886.14,Adamfort,Adamfort
e443df78-9558-467f-9ba9-1faf7a024204,Finland,policy,Export,Air,Juliebury,Electronics,2622,2817.29,2023-04-03,555981,4406.74,South Julie,South Julie
23a7711a-8133-4876-b7eb-dcd9e87a1613,New Zealand,positive,Export,Sea,East Randall,Machinery,6975,657.8,2021-07-23,741778,1497.16,East Randall,East Randall
1846d424-c17c-4279-a3c6-612f48268673,Falkland Islands (Malvinas),back,Export,Land,Port Crystalview,Furniture,2746,8755.76,2022-03-29,816682,1692.01,East Crystal,East Crystal
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,Bangladesh,population,Export,Air,Wrightburgh,Electronics,3582,9993.02,2020-04-08,950200,842.84,Wrightburgh,Wrightburgh
b4862b21-fb97-4435-8856-1712e8e5216a,Burundi,last,Export,Air,Ruizmouth,Furniture,5432,3027.55,2021-12-13,962651,1158.91,Ruizmouth,Ruizmouth
5487ce1e-af19-422a-99b8-a714e61a441c,Burundi,safe,Export,Air,Garciaville,Electronics,9558,1154.23,2022-01-16,412683,3676.36,Garciaville,Garciaville
8d723104-f773-43c1-b458-a748e9bb17bc,Malawi,understand,Export,Air,South Kennethmouth,Clothing,6484,9490.3,2020-05-21,778573,277.99,East Kenneth,East Kenneth
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,Greece,nature,Export,Sea,Jacksonberg,Electronics,2226,3540.04,2022-10-27,158602,517.44,Jacksonberg,Jacksonberg
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,Grenada,than,Export,Sea,North Alexanderberg,Electronics,364,4880.31,2022-03-05,130182,570.14,Port Alexander,Port Alexander
d3fbf47a-7e5b-4e7f-9ca5-499d004ae545,Bahamas,its,Export,Sea,Yatesmouth,Clothing,1362,1111.95,2024-04-28,101342,4589.82,Yatesmouth,Yatesmouth
101fbccc-ded7-43e8-b421-eaeb534097ca,Poland,prove,Export,Sea,Brittneyport,Electronics,412,6659.89,2020-06-02,981147,3524.76,Brittneyport,Brittneyport
38c1962e-9148-424f-aac1-c14f30e9c5cc,Cambodia,similar,Export,Sea,Jessestad,Toys,8454,3178.89,2023-04-03,302810,815.4,Jessestad,Jessestad
247a8333-f7b0-47d2-8da8-056c3d15eef7,Guinea-Bissau,positive,Export,Air,Sheriberg,Electronics,7972,1714.77,2023-12-01,545970,2484.12,Sheriberg,Sheriberg
e005b860-51ef-4922-be43-c49e149818d1,Cameroon,again,Export,Land,Osborneshire,Machinery,7311,8849.61,2022-02-18,999705,3150.2,Osborneshire,Osborneshire
7d41e602-eece-428b-bf7b-118e820865d6,Paraguay,assume,Export,Sea,Laceytown,Electronics,261,1599.97,2023-06-20,542136,3116.02,Laceytown,Laceytown
4a84eb03-8d1f-49b7-8d2b-9deb1beb3711,Niger,government,Export,Sea,Sandraton,Machinery,7839,5508.55,2023-01-09,183594,3770.76,Port Sandra,Port Sandra
1775336d-71ea-4d05-89a3-e80e966e1277,Malaysia,assume,Export,Air,North Patriciachester,Electronics,2228,6024.89,2020-12-22,574485,4793.04,West Patrick,West Patrick
2f120554-4a53-48cc-bdfa-bc08935ddd72,Canada,message,Export,Air,Jenniferburgh,Furniture,6626,1912.02,2019-11-29,634549,3847.74,New Jennifer,New Jennifer
0870e15c-2fcd-41b5-924b-ace4307bf326,Mauritius,two,Export,Land,West Christopherport,Toys,2096,9767.47,2022-01-13,817979,90.1,North Christopher,North Christopher
adc0da7a-16fe-4aa0-91af-923d79fdef7c,Bulgaria,particular,Export,Land,Nicolebury,Clothing,4708,7744.26,2022-04-05,313255,857.34,North Nicole,North Nicole
37176e84-d977-4993-bc49-d76fcfc6e625,Aruba,finish,Export,Sea,Danielburgh,Clothing,2916,8007.54,2020-04-21,577707,4237.36,Danielburgh,Danielburgh
a425799a-a905-4750-be1e-a9c573581a81,Denmark,collection,Export,Sea,Port Jenny,Electronics,7458,6007.78,2021-03-07,451100,1657.06,Port Jenny,Port Jenny
fb82860d-eabc-48d0-b341-facdff0ac0f1,Estonia,arm,Export,Sea,West Debrachester,Machinery,4577,7019.81,2022-10-13,110947,2663.98,Debraside,Debraside
964a870c-7c87-4b74-9d87-8f9f9cdf5a86,Tonga,quickly,Export,Sea,Millerville,Toys,1362,8416.06,2020-11-11,671946,1397.66,Millerville,Millerville
30bcab0e-d857-4102-95d4-4936a1515607,Burkina Faso,because,Export,Air,Nelsonton,Machinery,1465,1803.57,2022-06-11,786689,2088.38,Nelsonton,Nelsonton
5f3f5638-3870-4a14-b490-b6081dfc8352,Guinea,leader,Export,Air,South Chris,Furniture,1937,5936.78,2020-07-12,737656,1498.89,West Christine,West Christine
c87a7463-19c1-4a0d-8feb-d845d0dfae43,Tonga,actually,Export,Land,Ronniefort,Machinery,766,9262.55,2021-04-19,440654,1921.97,Ronniefort,Ronniefort
38018b47-b29a-4b06-9af6-6c5f2577bffa,Afghanistan,left,Export,Land,Woodsshire,Furniture,6615,4793.51,2020-11-04,527249,1229.85,Woodsshire,Woodsshire
